city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,White,1240092,1451698946053
Kansas City,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,Black or African-American,147739,1451698946054
Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,Asian,9273,1451698946055
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,Hispanic or Latino,3896,1451698946056
Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,Black or African-American,5241,1451698946057
The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,White,72211,1451698946058
Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,White,56156,1451698946059
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,American Indian and Alaska Native,5592,1451698946060
Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,Black or African-American,49939,1451698946061
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,White,51245,1451698946062
Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,American Indian and Alaska Native,485,1451698946063
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,Black or African-American,9575,1451698946064
Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL,Asian,3954,1451698946065
Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Asian,5186,1451698946066
Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,White,51516,1451698946067
Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,American Indian and Alaska Native,998,1460288880640
Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Asian,22428,1460288880641
Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,Black or African-American,14931,1460288880642
Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,White,211322,1460288880643
Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,Hispanic or Latino,51786,1460288880644
Rapid City,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,Asian,2170,1460288880645
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,Hispanic or Latino,40603,1460288880646
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,White,81072,1460288880647
Pharr,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,Hispanic or Latino,72995,1460288880648
Lawrence,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,Asian,6547,1460288880649
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,Asian,6088,1460288880650
High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,Black or African-American,39369,1468878815232
San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Hispanic or Latino,331232,1468878815233
Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Asian,8275,1468878815234
Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,Black or African-American,4210,1468878815235
Schenectady,New York,36.7,32398.0,32901.0,65299,3388.0,10961.0,2.82,NY,Black or African-American,15640,1468878815236
Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,Black or African-American,45858,1468878815237
Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,Hispanic or Latino,121196,1468878815238
Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,Hispanic or Latino,120610,1468878815239
Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,Asian,8499,1468878815240
Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,Black or African-American,6464,1468878815241
Lafayette,Indiana,33.5,34313.0,36857.0,71170,5045.0,5697.0,2.19,IN,Hispanic or Latino,9151,1468878815242
Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,Hispanic or Latino,29656,1477468749824
Mountain View,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,White,51400,1477468749825
Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Black or African-American,3559,1477468749826
Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,White,195220,1477468749827
Santa Monica,California,40.6,46732.0,46487.0,93219,2008.0,24448.0,2.0,CA,White,70365,1477468749828
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,Hispanic or Latino,17104,1477468749829
Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,Asian,1873,1477468749830
Mountain View,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,Black or African-American,1974,1477468749831
Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,White,10029,1477468749832
Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,White,75823,1477468749833
Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,Asian,27089,1486058684416
Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,White,55847,1486058684417
New Britain,Connecticut,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52,CT,White,56431,1486058684418
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,Hispanic or Latino,39981,1486058684419
Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,White,58914,1486058684420
Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Asian,13981,1486058684421
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,White,135049,1486058684422
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,Asian,25140,1486058684423
Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,Hispanic or Latino,1772,1486058684424
Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,Asian,4252,1486058684425
Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,White,95151,1486058684426
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,Asian,5561,1486058684427
Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Asian,3501,1486058684428
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,American Indian and Alaska Native,1480,1486058684429
Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,Asian,12412,1486058684430
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,American Indian and Alaska Native,406,1486058684431
Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Black or African-American,6873,1486058684432
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,American Indian and Alaska Native,323,1494648619008
Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,Black or African-American,18023,1494648619009
Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,White,46998,1494648619010
Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,Hispanic or Latino,4864,1494648619011
Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,White,65228,1494648619012
Toledo,Ohio,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29,OH,Hispanic or Latino,23614,1494648619013
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,American Indian and Alaska Native,618,1494648619014
El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Asian,4561,1494648619015
Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,White,55741,1494648619016
Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,Hispanic or Latino,28605,1494648619017
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,American Indian and Alaska Native,603,1494648619018
Anchorage,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,White,212696,1494648619019
Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,American Indian and Alaska Native,1949,1494648619020
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.57,NJ,Black or African-American,65051,1494648619021
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,White,63948,1494648619022
Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,Asian,10764,1494648619023
Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,American Indian and Alaska Native,2855,1494648619024
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Asian,1963,1494648619025
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Asian,3191,1494648619026
Orange,California,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14,CA,White,100083,1494648619027
Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,White,36890,1494648619028
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,Asian,6484,1494648619029
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,White,64806,1503238553600
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,American Indian and Alaska Native,549,1503238553601
Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,Asian,52617,1503238553602
San Clemente,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA,Black or African-American,251,1503238553603
Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,American Indian and Alaska Native,1551,1503238553604
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,American Indian and Alaska Native,3651,1503238553605
Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,Black or African-American,12369,1503238553606
Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,Black or African-American,322570,1503238553607
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,White,40458,1503238553608
Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,Hispanic or Latino,51727,1503238553609
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,Hispanic or Latino,20483,1503238553610
Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,Black or African-American,15159,1503238553611
Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,White,524258,1503238553612
Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,White,73480,1503238553613
Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,White,92575,1511828488192
Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,Asian,2215,1511828488193
Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,Asian,974,1511828488194
Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,Asian,35444,1511828488195
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,Asian,4181,1511828488196
Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,Hispanic or Latino,34897,1511828488197
San Clemente,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA,Asian,4296,1511828488198
Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,White,73232,1511828488199
Ogden,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,Asian,1911,1511828488200
Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,White,95283,1511828488201
Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA,Black or African-American,7183,1511828488202
Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,American Indian and Alaska Native,2749,1511828488203
Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,Black or African-American,3994,1520418422784
Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,Hispanic or Latino,15602,1520418422785
Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,Black or African-American,7581,1520418422786
Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,Asian,17453,1520418422787
Palm Coast,Florida,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76,FL,Hispanic or Latino,8706,1520418422788
Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,American Indian and Alaska Native,544,1520418422789
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,Black or African-American,6938,1520418422790
El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Hispanic or Latino,31542,1520418422791
Corona,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97,CA,American Indian and Alaska Native,2268,1520418422792
Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.97,CA,Black or African-American,21566,1520418422793
Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,Asian,7606,1520418422794
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41,MI,Black or African-American,13483,1520418422795
Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,American Indian and Alaska Native,1671,1529008357376
Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,White,174214,1529008357377
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,Hispanic or Latino,57032,1529008357378
Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,Black or African-American,6620,1529008357379
Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,American Indian and Alaska Native,1172,1529008357380
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,Hispanic or Latino,5888,1529008357381
West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,American Indian and Alaska Native,1211,1529008357382
Reno,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,Black or African-American,9427,1529008357383
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,Asian,3306,1529008357384
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Asian,30341,1529008357385
Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,Hispanic or Latino,77968,1529008357386
Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,Black or African-American,11592,1537598291968
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,White,279127,1537598291969
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,American Indian and Alaska Native,2449,1537598291970
Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Black or African-American,20219,1537598291971
Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,Hispanic or Latino,6596,1537598291972
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,Black or African-American,26774,1537598291973
Roseville,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,Hispanic or Latino,23499,1537598291974
Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,White,85505,1537598291975
Pomona,California,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63,CA,Hispanic or Latino,108787,1537598291976
Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,Asian,18999,1537598291977
Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,Asian,61918,1537598291978
Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,Hispanic or Latino,23395,1546188226560
Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,Hispanic or Latino,47154,1546188226561
Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,Hispanic or Latino,25307,1546188226562
Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,White,353417,1546188226563
Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Black or African-American,5860,1546188226564
Hialeah,Florida,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31,FL,White,219991,1546188226565
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54,MS,Hispanic or Latino,4247,1546188226566
Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,Black or African-American,1041,1546188226567
San Mateo,California,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64,CA,Asian,30573,1546188226568
Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,Hispanic or Latino,39937,1546188226569
Saint Louis,Missouri,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16,MO,Black or African-American,151030,1546188226570
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,Asian,13596,1546188226571
San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,Black or African-American,6079,1546188226572
Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,Black or African-American,13256,1554778161152
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,Asian,240978,1554778161153
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,Hispanic or Latino,45884,1554778161154
Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,Black or African-American,10045,1554778161155
Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,Black or African-American,11671,1554778161156
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,Asian,13704,1554778161157
Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,Hispanic or Latino,32810,1554778161158
Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,White,104568,1554778161159
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,White,106944,1554778161160
Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,White,62176,1554778161161
Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,American Indian and Alaska Native,244,1554778161162
Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,American Indian and Alaska Native,3083,1554778161163
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,White,246442,1563368095744
Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,White,234301,1563368095745
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,American Indian and Alaska Native,400,1563368095746
Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Black or African-American,34240,1563368095747
Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,White,378543,1563368095748
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,American Indian and Alaska Native,592,1563368095749
Arlington,Texas,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89,TX,Asian,31804,1563368095750
Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,White,121904,1563368095751
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Black or African-American,15420,1563368095752
Lake Forest,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,Asian,16690,1563368095753
East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,American Indian and Alaska Native,778,1563368095754
El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,Hispanic or Latino,542017,1563368095755
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,White,73977,1563368095756
Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,American Indian and Alaska Native,1940,1563368095757
Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Hispanic or Latino,60895,1563368095758
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,American Indian and Alaska Native,1253,1571958030336
New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,American Indian and Alaska Native,2205,1571958030337
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Black or African-American,38653,1571958030338
Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,Asian,10538,1571958030339
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,White,1161455,1571958030340
Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,Asian,247,1571958030341
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,Hispanic or Latino,271854,1571958030342
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Hispanic or Latino,65823,1571958030343
Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,American Indian and Alaska Native,4260,1571958030344
Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,Asian,34753,1571958030345
Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,American Indian and Alaska Native,7730,1571958030346
Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Hispanic or Latino,31552,1571958030347
San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,Black or African-American,4447,1580547964928
Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,White,138506,1580547964929
Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,Black or African-American,10394,1580547964930
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Hispanic or Latino,21766,1580547964931
Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,Black or African-American,7296,1580547964932
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,White,52205,1580547964933
Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,White,75686,1580547964934
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Black or African-American,1222,1580547964935
Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,Hispanic or Latino,41473,1580547964936
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,Hispanic or Latino,24586,1580547964937
Newport Beach,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA,American Indian and Alaska Native,423,1580547964938
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO,Black or African-American,38976,1580547964939
Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,White,112800,1580547964940
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,White,50289,1580547964941
Alameda,California,41.4,37747.0,40867.0,78614,4504.0,18841.0,2.52,CA,White,44232,1580547964942
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Black or African-American,3471,1580547964943
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,White,40110,1580547964944
Edinburg,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX,Asian,812,1580547964945
Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Black or African-American,9259,1580547964946
Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,White,39129,1580547964947
Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,Asian,6989,1580547964948
Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,Asian,13496,1580547964949
Oceanside,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,White,137533,1580547964950
Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,Hispanic or Latino,7835,1580547964951
Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Black or African-American,65840,1589137899520
Carrollton,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,American Indian and Alaska Native,812,1589137899521
Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Hispanic or Latino,64880,1589137899522
Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,Black or African-American,16422,1589137899523
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,Hispanic or Latino,4070,1589137899524
Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,Black or African-American,6577,1589137899525
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,Hispanic or Latino,63175,1589137899526
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,American Indian and Alaska Native,1751,1589137899527
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,White,34118,1597727834112
Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,Black or African-American,12056,1597727834113
Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,White,34640,1597727834114
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Black or African-American,23243,1597727834115
