City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,White,58723
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Asian,3152
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,Hispanic or Latino,95154
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Asian,2788
Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,American Indian and Alaska Native,1057
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,Black or African-American,11800
Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,American Indian and Alaska Native,507
Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,Black or African-American,13647
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Black or African-American,5717
Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Black or African-American,7311
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,American Indian and Alaska Native,1262
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Asian,8423
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,Black or African-American,5828
Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,Hispanic or Latino,81551
Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,White,48412
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Hispanic or Latino,22066
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,White,112743
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Hispanic or Latino,33229
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,American Indian and Alaska Native,358
Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Hispanic or Latino,243190
Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Black or African-American,4226
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,Asian,26168
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Black or African-American,2856
Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Hispanic or Latino,15392
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Asian,1732
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,American Indian and Alaska Native,7627
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,White,206318
Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Black or African-American,24329
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Asian,7913
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Asian,4689
Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,Hispanic or Latino,18815
Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,Asian,6101
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,Black or African-American,7100
Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,White,305910
Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Hispanic or Latino,18640
Cedar Park,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,Hispanic or Latino,11872
Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Black or African-American,18274
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,Hispanic or Latino,21928
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,Hispanic or Latino,86456
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,White,111832
Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,Asian,16026
Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,Hispanic or Latino,23744
College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Hispanic or Latino,17784
Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Asian,3127
Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,Asian,52223
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Hispanic or Latino,2525
Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,Hispanic or Latino,60519
Carson,California,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7,CA,White,28801
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Asian,1877
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Asian,2374
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,White,55444
Pomona,California,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63,CA,American Indian and Alaska Native,3866
Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,White,325651
Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,Asian,17616
Mobile,Alabama,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4,AL,White,93755
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Black or African-American,24437
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,Black or African-American,85300
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,American Indian and Alaska Native,4857
Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,American Indian and Alaska Native,2120
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,White,73022
Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,Asian,2032
Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,Asian,1696
Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,White,97436
Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,Hispanic or Latino,17769
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,White,204114
Concord,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,Black or African-American,19027
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Hispanic or Latino,114054
Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,American Indian and Alaska Native,4856
Albany,Georgia,33.3,31695.0,39414.0,71109,5409.0,861.0,2.38,GA,Black or African-American,53440
Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,Asian,2292
Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,American Indian and Alaska Native,1343
Palatine,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Black or African-American,1822
Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,Asian,15277
Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,White,78029
Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,American Indian and Alaska Native,1713
Visalia,California,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11,CA,White,107322
New Britain,Connecticut,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52,CT,Asian,2297
Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,White,61021
Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,Asian,3588
Orlando,Florida,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42,FL,Black or African-American,68081
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,Hispanic or Latino,9191
Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,American Indian and Alaska Native,24409
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,Asian,2685
Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,Black or African-American,56398
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Asian,2252
Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Asian,3871
Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Hispanic or Latino,7513
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Hispanic or Latino,11962
Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.97,CA,Hispanic or Latino,50115
Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,American Indian and Alaska Native,2253
Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,Black or African-American,2234
Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,American Indian and Alaska Native,713
Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,Black or African-American,7721
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Black or African-American,6896
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,Hispanic or Latino,5110
Mayagüez,Puerto Rico,38.1,30799.0,35782.0,66581,,,,PR,Asian,235
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,Asian,20273
Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,American Indian and Alaska Native,1254
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,Asian,4202
Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,Asian,141953
Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,Asian,44849
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,American Indian and Alaska Native,881
Marysville,Washington,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79,WA,Hispanic or Latino,7142
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,Hispanic or Latino,2566
Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Hispanic or Latino,3643
Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,American Indian and Alaska Native,2451
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Hispanic or Latino,1704
Medford,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Black or African-American,1201
Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Asian,32491
San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,White,75429
Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,Black or African-American,2307
Orange,California,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14,CA,Black or African-American,2853
Temecula,California,34.2,54407.0,57619.0,112026,7587.0,18884.0,3.34,CA,White,85130
German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,Black or African-American,22273
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,White,82033
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,4646.0,44475.0,2.86,CT,Black or African-American,53770
Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Hispanic or Latino,207847
Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,White,107349
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,Asian,3013
Pueblo,Colorado,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44,CO,White,86097
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Black or African-American,23578
Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,Black or African-American,3699
Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,Black or African-American,6724
Carrollton,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,Black or African-American,10923
Paradise,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,Black or African-American,25091
Shreveport,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,American Indian and Alaska Native,1647
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,White,102075
Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,American Indian and Alaska Native,1086
Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,White,90935
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,American Indian and Alaska Native,5117
Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Hispanic or Latino,29163
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,8972.0,19176.0,2.56,MI,Hispanic or Latino,31282
Woodbury,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.72,MN,White,56216
College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,White,84892
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Asian,5606
Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,Asian,9059
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,White,82860
Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,American Indian and Alaska Native,10801
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,White,205512
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,American Indian and Alaska Native,1508
Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,Hispanic or Latino,19697
Salem,Oregon,35.4,80839.0,83704.0,164543,9685.0,19668.0,2.69,OR,Hispanic or Latino,39414
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,White,90173
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,Asian,9685
Allen,Texas,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04,TX,Black or African-American,13140
Conroe,Texas,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65,TX,American Indian and Alaska Native,707
Anchorage,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,Black or African-American,23107
Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,Hispanic or Latino,23355
Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,Hispanic or Latino,1709
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,Black or African-American,3407
Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Asian,1721
San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,Asian,12981
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,Hispanic or Latino,83426
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,Black or African-American,43646
Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,American Indian and Alaska Native,845
Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,Hispanic or Latino,34032
Atascocita,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX,Hispanic or Latino,20441
Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,White,52612
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,4646.0,44475.0,2.86,CT,White,68007
Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Hispanic or Latino,22089
Orlando,Florida,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42,FL,Asian,11124
Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,Hispanic or Latino,5361
Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,White,146718
San Ramon,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,Black or African-American,2734
Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Hispanic or Latino,33016
Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,Hispanic or Latino,61249
Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,Black or African-American,20185
Evansville,Indiana,38.0,57198.0,60481.0,117679,9063.0,3169.0,2.25,IN,White,100055
Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,American Indian and Alaska Native,789
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,American Indian and Alaska Native,1042
Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,Black or African-American,3731
Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,White,54976
Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,Hispanic or Latino,6966
Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Asian,75446
Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,White,19907
Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,Asian,28132
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Hispanic or Latino,40817
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,White,68293
Gary,Indiana,38.1,35876.0,41478.0,77354,3952.0,1884.0,2.35,IN,White,13498
Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,American Indian and Alaska Native,3964
Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,Hispanic or Latino,6590
Davis,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA,Hispanic or Latino,9041
Albany,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,Hispanic or Latino,9368
Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,Asian,4105
South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,American Indian and Alaska Native,535
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,Asian,3392
Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,Black or African-American,15458
Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,American Indian and Alaska Native,8177
Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,American Indian and Alaska Native,3618
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,American Indian and Alaska Native,414
Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Black or African-American,151256
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Black or African-American,35284
Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,American Indian and Alaska Native,3102
North Richland Hills,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,American Indian and Alaska Native,1127
Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,Asian,1549
Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Black or African-American,2710
Missouri City,Texas,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03,TX,White,20590
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,Black or African-American,112271
Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,Hispanic or Latino,73367
Goodyear,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97,AZ,White,63493
Savannah,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,Asian,5366
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,Asian,5978
Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,Black or African-American,10685
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,6238.0,7443.0,2.55,WI,Asian,2537
Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Asian,7340
Marysville,Washington,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79,WA,White,58894
Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,White,58293
Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,Black or African-American,18074
Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,White,90403
Atascocita,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX,White,50630
Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,Black or African-American,8993
Marysville,Washington,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79,WA,Black or African-American,1800
Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,White,132779
Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,Black or African-American,1840
Visalia,California,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11,CA,American Indian and Alaska Native,2113
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,American Indian and Alaska Native,906
Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,Hispanic or Latino,19703
Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,Asian,8183
Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Hispanic or Latino,3111
El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,American Indian and Alaska Native,7359
Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,American Indian and Alaska Native,867
Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,Asian,4646
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Hispanic or Latino,17093
Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,American Indian and Alaska Native,2396
Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,Black or African-American,3391
Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,Black or African-American,52592
Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,Black or African-American,109722
Cheektowaga,New York,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3,NY,Asian,1584
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,Black or African-American,4347
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Hispanic or Latino,15500
Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,White,105636
Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.82,CO,American Indian and Alaska Native,8277
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,Hispanic or Latino,91312
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,Asian,5652
Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Black or African-American,40507
Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,Asian,5232
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,Hispanic or Latino,10511
Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,Asian,1437
Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,White,17127
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,American Indian and Alaska Native,8656
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,Black or African-American,54093
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,American Indian and Alaska Native,1536
Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,Asian,11854
Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,American Indian and Alaska Native,1076
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,American Indian and Alaska Native,1251
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,White,144930
Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,White,196316
Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,Hispanic or Latino,231025
Pueblo,Colorado,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44,CO,Hispanic or Latino,57579
Livermore,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,American Indian and Alaska Native,941
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Asian,1089
Kansas City,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,Asian,17061
Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,American Indian and Alaska Native,5474
Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Hispanic or Latino,3395
Riverside,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA,Black or African-American,26147
Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,Hispanic or Latino,5822
Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,American Indian and Alaska Native,726
